Student_ID,Institution_Type,AISHE_Code,State,Academic_Year,District,Age,Gender,Area_Type,Social_Category,Education_Level,Program,Affiliated_University,College_Type,Mother_Education,Father_Education,Family_Income_Monthly,Medium_of_Instruction,Attendance_Percentage,Current_Academic_Score,Previous_Year_Score,First_Semester_Grade,Second_Semester_Grade,Fee_Payment_Status,Scholarship_Status,Financial_Assistance,Disciplinary_Records,Extracurricular_Participation,Library_Usage,Risk_Level,Institution_Code,Year,Data_Source_Year,Primary_Sources
RJC00001,College,C-93810,Rajasthan,2024-25,Jodhpur,21,Male,Rural,OBC,Undergraduate,Bachelor of Arts (BA),"Jai Narain Vyas University, Jodhpur",Private College,Primary,Secondary,10000-20000,Hindi,80.45569251330292,86.0,98.0,80.86554452,82.16608968,Up_to_Date,Yes,Not_Received,No,Active,Regular,Low_Risk,C-93810,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00002,College,C-24592,Rajasthan,2024-25,Churu,18,Male,Rural,OBC,Postgraduate,Bachelor of Arts (BA),"Jai Narain Vyas University, Jodhpur",Private College,Illiterate,Secondary,5000-10000,English,78.390418164523,56.7,47.57534896,49.5844704,50.21839764,Up_to_Date,Yes,Not_Received,No,Limited,Occasional,Low_Risk,C-24592,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00003,College,C-13278,Rajasthan,2024-25,Alwar,20,Male,Rural,General,Postgraduate,Master of Technology (MTech),"University of Rajasthan, Jaipur",Government College,Upper_Primary,Illiterate,5000-10000,Hindi,77.86845698578743,73.1,78.68058337,74.19748738,75.38040464,Up_to_Date,No,Not_Received,No,Active,Regular,Low_Risk,C-13278,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00004,College,C-46048,Rajasthan,2024-25,Ajmer,20,Male,Rural,SC,Undergraduate,Bachelor of Arts (BA),"Rajasthan University of Health Sciences, Jaipur",Private College,Illiterate,Graduate,Above_50000,Hindi,89.89308393041568,86.1,74.60764827,74.97760655,89.52661577,Up_to_Date,Yes,Not_Received,No,Active,Regular,Low_Risk,C-46048,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00005,College,C-42098,Rajasthan,2024-25,Jaipur,19,Male,Urban,OBC,Undergraduate,Master of Science (MSc),"University of Rajasthan, Jaipur",Government College,Graduate,Secondary,10000-20000,English,99.43577444330622,92.6,92.85877254,95.37292458,87.9762923,Up_to_Date,No,Not_Received,No,Limited,Regular,Low_Risk,C-42098,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00006,College,C-39256,Rajasthan,2024-25,Jaipur,21,Female,Urban,SC,Undergraduate,Bachelor of Technology (BTech),"Rajasthan Technical University, Kota",Private College,Illiterate,Primary,20000-50000,English,82.56291907999997,91.8,98.0,91.14484143,100.0,Pending,No,Not_Received,No,Active,Occasional,Medium_Risk,C-39256,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00007,College,C-28289,Rajasthan,2024-25,Jaipur,23,Male,Rural,SC,Undergraduate,Bachelor of Arts (BA),"Amity University, Jaipur",Private College,Literate_No_Formal,Higher_Secondary,5000-10000,English,84.47502452203221,83.7,66.12291907,90.5078382,81.81239132,Pending,No,Received,No,Active,Occasional,Low_Risk,C-28289,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00008,College,C-23434,Rajasthan,2024-25,Banswara,23,Female,Rural,SC,Undergraduate,Bachelor of Education (BEd),"Amity University, Jaipur",Private College,Primary,Primary,10000-20000,English,91.50364414138792,95.0,92.36054021,90.96849614,100.0,Up_to_Date,No,Received,Yes,Active,Regular,Low_Risk,C-23434,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00009,College,C-98696,Rajasthan,2024-25,Udaipur,20,Male,Urban,OBC,Undergraduate,Bachelor of Science (BSc),"Maharaja Ganga Singh University, Bikaner",Private College,Primary,Secondary,Below_5000,Hindi,100.0,92.1,86.59432213,90.88009029,88.24723696,Pending,No,Received,No,Active,Occasional,Medium_Risk,C-98696,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
RJC00010,College,C-81482,Rajasthan,2024-25,Bikaner,18,Female,Urban,OBC,Undergraduate,Master of Commerce (MCom),"Maharaja Ganga Singh University, Bikaner",Private College,Higher_Secondary,Illiterate,Below_5000,English,93.4757660314434,72.4,65.78434161,79.13322,60.24053334,Pending,No,Received,No,Active,Occasional,Medium_Risk,C-81482,2024,AISHE 2023-24,"UDISE+, AISHE, ASER, Rajasthan Attendance MIS, Data.gov.in (see attached PDF for full list)"
